CountyFull,State,County,1953,1957,1961,1962,1963,1964,1966,1967,1969,1970,1972,1973,1975,1976,1977,1978,1979,1980,1981,1982,1984,1985,1986,1989,1990,1991,1992,1994,1995,1996,2002,2011,2013,2014,2015,2018,StateX,StateY,CountyX,CountyY,countyfull2,trimmed
 AL,AL,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,,,AL,
 FL,FL,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79.1308975,35.526001,,,FL,
 GA,GA,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,,,GA,
 KY,KY,,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89.6533966,32.7128983,,,KY,
 NC,NC,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83.4271011,32.6385994,,,NC,
 TN,TN,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.2906036,37.5265999,,,TN,
Abbeville  SC,SC,Abbeville ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-86.343399,35.8429985,-82.459198,-82.459198,"Abbeville, SC",Abbeville
Aiken  SC,SC,Aiken ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-86.343399,35.8429985,-81.634697,-81.634697,"Aiken, SC",Aiken
Alcona  MI,MI,Alcona ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"Alcona, MI",Alcona
Allegan  MI,MI,Allegan ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,"Allegan, MI",Allegan
Alleghany  NC,NC,Alleghany ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-83.4271011,32.6385994,-81.1278992,-81.1278992,"Alleghany, NC",Alleghany
Allen  KY,KY,Allen ,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89.6533966,32.7128983,-86.1903992,-86.1903992,"Allen, KY",Allen
Allendale  SC,SC,Allendale ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-86.343399,35.8429985,-81.3582001,-81.3582001,"Allendale, SC",Allendale
Anderson  KY,KY,Anderson ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-89.6533966,32.7128983,-84.9909973,-84.9909973,"Anderson, KY",Anderson
Anderson  SC,SC,Anderson ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-86.343399,35.8429985,-82.6377029,-82.6377029,"Anderson, SC",Anderson
Anderson  TN,TN,Anderson ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-85.2906036,37.5265999,-84.1985016,-84.1985016,"Anderson, TN",Anderson
Appling  GA,GA,Appling ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,-82.2890015,-82.2890015,"Appling, GA",Appling
Arenac  MI,MI,Arenac ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"Arenac, MI",Arenac
Ashe  NC,NC,Ashe ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,-83.4271011,32.6385994,-81.5005035,-81.5005035,"Ashe, NC",Ashe
Atkinson  GA,GA,Atkinson ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,-82.8799973,-82.8799973,"Atkinson, GA",Atkinson
Autauga  AL,AL,Autauga ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-86.6427002,-86.6427002,"Autauga, AL",Autauga
Avery  NC,NC,Avery ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,-83.4271011,32.6385994,-81.9225998,-81.9225998,"Avery, NC",Avery
Bacon  GA,GA,Bacon ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,-82.4526978,-82.4526978,"Bacon, GA",Bacon
Baker  FL,FL,Baker ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79.1308975,35.526001,-82.2845993,-82.2845993,"Baker, FL",Baker
Baker  GA,GA,Baker ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,-84.4447021,-84.4447021,"Baker, GA",Baker
Baldwin  AL,AL,Baldwin ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-87.7498016,-87.7498016,"Baldwin, AL",Baldwin
Ballard  KY,KY,Ballard ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-89.6533966,32.7128983,-88.9992981,-88.9992981,"Ballard, KY",Ballard
Bamberg  SC,SC,Bamberg ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-86.343399,35.8429985,-81.0541992,-81.0541992,"Bamberg, SC",Bamberg
Banks  GA,GA,Banks ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,-83.4973984,-83.4973984,"Banks, GA",Banks
Baraga  MI,MI,Baraga ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,"Baraga, MI",Baraga
Barbour  AL,AL,Barbour ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-85.3932037,-85.3932037,"Barbour, AL",Barbour
Barry  MI,MI,Barry ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,"Barry, MI",Barry
Bath  KY,KY,Bath ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,-89.6533966,32.7128983,-83.7426987,-83.7426987,"Bath, KY",Bath
Bay  FL,FL,Bay ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-79.1308975,35.526001,-85.6325989,-85.6325989,"Bay, FL",Bay
Bay  MI,MI,Bay ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"Bay, MI",Bay
Beaufort  SC,SC,Beaufort ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-86.343399,35.8429985,-80.6921997,-80.6921997,"Beaufort, SC",Beaufort
Bedford  TN,TN,Bedford ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-85.2906036,37.5265999,-86.4589005,-86.4589005,"Bedford, TN",Bedford
Bell  KY,KY,Bell ,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-89.6533966,32.7128983,-83.6741028,-83.6741028,"Bell, KY",Bell
Berkeley  SC,SC,Berkeley ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-86.343399,35.8429985,-79.9522018,-79.9522018,"Berkeley, SC",Berkeley
Berrien  GA,GA,Berrien ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,-83.229599,-83.229599,"Berrien, GA",Berrien
Berrien  MI,MI,Berrien ,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"Berrien, MI",Berrien
Bibb  AL,AL,Bibb ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-87.1264038,-87.1264038,"Bibb, AL",Bibb
Bleckley  GA,GA,Bleckley ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,-83.3277969,-83.3277969,"Bleckley, GA",Bleckley
Bledsoe  TN,TN,Bledsoe ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-85.2906036,37.5265999,-85.2052002,-85.2052002,"Bledsoe, TN",Bledsoe
Blount  AL,AL,Blount ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-86.5673981,-86.5673981,"Blount, AL",Blount
Blount  TN,TN,Blount ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-85.2906036,37.5265999,-83.925499,-83.925499,"Blount, TN",Blount
Bourbon  KY,KY,Bourbon ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,-89.6533966,32.7128983,-84.2171021,-84.2171021,"Bourbon, KY",Bourbon
Boyd  KY,KY,Boyd ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,-89.6533966,32.7128983,-82.6876984,-82.6876984,"Boyd, KY",Boyd
Bradley  TN,TN,Bradley ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-85.2906036,37.5265999,-84.8595963,-84.8595963,"Bradley, TN",Bradley
Breathitt  KY,KY,Breathitt ,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,-89.6533966,32.7128983,-83.3240967,-83.3240967,"Breathitt, KY",Breathitt
Brooks  GA,GA,Brooks ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,-83.5802002,-83.5802002,"Brooks, GA",Brooks
Bryan  GA,GA,Bryan ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,-81.4424973,-81.4424973,"Bryan, GA",Bryan
Bullitt  KY,KY,Bullitt ,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,-89.6533966,32.7128983,-85.6959,-85.6959,"Bullitt, KY",Bullitt
Bullock  AL,AL,Bullock ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-85.7156982,-85.7156982,"Bullock, AL",Bullock
Buncombe  NC,NC,Buncombe ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-83.4271011,32.6385994,-82.530098,-82.530098,"Buncombe, NC",Buncombe
Burke  GA,GA,Burke ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,-82.0008011,-82.0008011,"Burke, GA",Burke
Burke  NC,NC,Burke ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-83.4271011,32.6385994,-81.7048035,-81.7048035,"Burke, NC",Burke
Butler  KY,KY,Butler ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-89.6533966,32.7128983,-86.6818008,-86.6818008,"Butler, KY",Butler
Caldwell  KY,KY,Caldwell ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-89.6533966,32.7128983,-87.867897,-87.867897,"Caldwell, KY",Caldwell
Caldwell  NC,NC,Caldwell ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-83.4271011,32.6385994,-81.546402,-81.546402,"Caldwell, NC",Caldwell
Calhoun  FL,FL,Calhoun ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-79.1308975,35.526001,-85.197197,-85.197197,"Calhoun, FL",Calhoun
Calhoun  MI,MI,Calhoun ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"Calhoun, MI",Calhoun
Calhoun  SC,SC,Calhoun ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-86.343399,35.8429985,-80.7802963,-80.7802963,"Calhoun, SC",Calhoun
Calloway  KY,KY,Calloway ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-89.6533966,32.7128983,-88.2722015,-88.2722015,"Calloway, KY",Calloway
Campbell  KY,KY,Campbell ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-89.6533966,32.7128983,-84.3796997,-84.3796997,"Campbell, KY",Campbell
Campbell  TN,TN,Campbell ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.2906036,37.5265999,-84.1493988,-84.1493988,"Campbell, TN",Campbell
Cannon  TN,TN,Cannon ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.2906036,37.5265999,-86.0616989,-86.0616989,"Cannon, TN",Cannon
Carlisle  KY,KY,Carlisle ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-89.6533966,32.7128983,-88.9710999,-88.9710999,"Carlisle, KY",Carlisle
Carroll  KY,KY,Carroll ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,-89.6533966,32.7128983,-85.1235962,-85.1235962,"Carroll, KY",Carroll
Carroll  TN,TN,Carroll ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.2906036,37.5265999,-88.4503021,-88.4503021,"Carroll, TN",Carroll
Carter  KY,KY,Carter ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,-89.6533966,32.7128983,-83.0494995,-83.0494995,"Carter, KY",Carter
Carter  TN,TN,Carter ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.2906036,37.5265999,-82.1275024,-82.1275024,"Carter, TN",Carter
Casey  KY,KY,Casey ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,-89.6533966,32.7128983,-84.9283981,-84.9283981,"Casey, KY",Casey
Cass  MI,MI,Cass ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"Cass, MI",Cass
Catawba  NC,NC,Catawba ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-83.4271011,32.6385994,-81.2151031,-81.2151031,"Catawba, NC",Catawba
Chambers  AL,AL,Chambers ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-85.3919983,-85.3919983,"Chambers, AL",Chambers
Charleston  SC,SC,Charleston ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-86.343399,35.8429985,-79.8967972,-79.8967972,"Charleston, SC",Charleston
Charlotte  FL,FL,Charlotte ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-79.1308975,35.526001,-81.9503021,-81.9503021,"Charlotte, FL",Charlotte
Cheatham  TN,TN,Cheatham ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-85.2906036,37.5265999,-87.0867996,-87.0867996,"Cheatham, TN",Cheatham
Cherokee  NC,NC,Cherokee ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-83.4271011,32.6385994,-84.0634003,-84.0634003,"Cherokee, NC",Cherokee
Cherokee  SC,SC,Cherokee ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-86.343399,35.8429985,-81.6203995,-81.6203995,"Cherokee, SC",Cherokee
Chester  TN,TN,Chester ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.2906036,37.5265999,-88.6135025,-88.6135025,"Chester, TN",Chester
Chesterfield  SC,SC,Chesterfield ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-86.343399,35.8429985,-80.158699,-80.158699,"Chesterfield, SC",Chesterfield
Chilton  AL,AL,Chilton ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-86.7188034,-86.7188034,"Chilton, AL",Chilton
Choctaw  AL,AL,Choctaw ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-88.2631989,-88.2631989,"Choctaw, AL",Choctaw
Christian  KY,KY,Christian ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-89.6533966,32.7128983,-87.4904022,-87.4904022,"Christian, KY",Christian
Claiborne  TN,TN,Claiborne ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.2906036,37.5265999,-83.6604004,-83.6604004,"Claiborne, TN",Claiborne
Clare  MI,MI,Clare ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"Clare, MI",Clare
Clarendon  SC,SC,Clarendon ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-86.343399,35.8429985,-80.2164001,-80.2164001,"Clarendon, SC",Clarendon
Clark  KY,KY,Clark ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-89.6533966,32.7128983,-84.1473999,-84.1473999,"Clark, KY",Clark
Clay  AL,AL,Clay ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-85.8604965,-85.8604965,"Clay, AL",Clay
Clay  KY,KY,Clay ,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,-89.6533966,32.7128983,-83.7146988,-83.7146988,"Clay, KY",Clay
