CountyFull,State,County,1971,1977,1983,1985,1989,1994,2000,StateX,StateY,CountyX,CountyY,countyfull2,trimmed
Alachua  FL,FL,Alachua ,0,0,0,0,0,0,1,-79.1308975,35.526001,-82.3576965,-82.3576965,"Alachua, FL",Alachua
Baker  FL,FL,Baker ,0,0,0,0,0,0,1,-79.1308975,35.526001,-82.2845993,-82.2845993,"Baker, FL",Baker
Bradford  FL,FL,Bradford ,0,0,0,0,0,0,1,-79.1308975,35.526001,-82.1688004,-82.1688004,"Bradford, FL",Bradford
Brevard  FL,FL,Brevard ,0,1,0,1,1,0,1,-79.1308975,35.526001,-80.7012024,-80.7012024,"Brevard, FL",Brevard
Broward  FL,FL,Broward ,1,1,0,1,1,0,1,-79.1308975,35.526001,-80.4559021,-80.4559021,"Broward, FL",Broward
Bryan  GA,GA,Bryan ,0,1,0,0,0,0,0,-86.8444977,32.7569008,-81.4424973,-81.4424973,"Bryan, GA",Bryan
Camden  GA,GA,Camden ,0,1,0,0,0,0,0,-86.8444977,32.7569008,-81.6363983,-81.6363983,"Camden, GA",Camden
Charlevoix  MI,MI,Charlevoix ,0,0,0,0,0,1,0,,,,,"Charlevoix, MI",Charlevoix
Charlotte  FL,FL,Charlotte ,0,1,0,1,1,0,1,-79.1308975,35.526001,-81.9503021,-81.9503021,"Charlotte, FL",Charlotte
Chatham  GA,GA,Chatham ,0,1,0,0,0,0,0,-86.8444977,32.7569008,-81.0940018,-81.0940018,"Chatham, GA",Chatham
Cheboygan  MI,MI,Cheboygan ,0,0,0,0,0,1,0,,,,,"Cheboygan, MI",Cheboygan
Chippewa  MI,MI,Chippewa ,0,0,0,0,0,1,0,,,,,"Chippewa, MI",Chippewa
Citrus  FL,FL,Citrus ,0,1,0,0,1,0,1,-79.1308975,35.526001,-82.5201035,-82.5201035,"Citrus, FL",Citrus
Clay  FL,FL,Clay ,0,0,0,0,0,0,1,-79.1308975,35.526001,-81.8579025,-81.8579025,"Clay, FL",Clay
Collier  FL,FL,Collier ,1,1,0,1,1,0,1,-79.1308975,35.526001,-81.3809967,-81.3809967,"Collier, FL",Collier
Columbia  FL,FL,Columbia ,0,0,0,0,0,0,1,-79.1308975,35.526001,-82.6214981,-82.6214981,"Columbia, FL",Columbia
Dade  FL,FL,Dade ,1,1,0,1,1,0,1,-79.1308975,35.526001,,,"Dade, FL",Dade
Delta  MI,MI,Delta ,0,0,0,0,0,1,0,,,,,"Delta, MI",Delta
DeSoto  FL,FL,DeSoto ,0,1,0,1,1,0,1,-79.1308975,35.526001,-81.8094025,-81.8094025,"DeSoto, FL",DeSoto
Dixie  FL,FL,Dixie ,0,0,0,0,0,0,1,-79.1308975,35.526001,-83.1869965,-83.1869965,"Dixie, FL",Dixie
Duval  FL,FL,Duval ,0,0,0,0,0,0,1,-79.1308975,35.526001,-81.6480026,-81.6480026,"Duval, FL",Duval
Flagler  FL,FL,Flagler ,0,1,0,0,0,0,1,-79.1308975,35.526001,-81.2929993,-81.2929993,"Flagler, FL",Flagler
Gilchrist  FL,FL,Gilchrist ,0,0,0,0,0,0,1,-79.1308975,35.526001,-82.8003998,-82.8003998,"Gilchrist, FL",Gilchrist
Glades  FL,FL,Glades ,0,1,0,0,1,0,1,-79.1308975,35.526001,-81.189003,-81.189003,"Glades, FL",Glades
Glynn  GA,GA,Glynn ,0,1,0,0,0,0,0,-86.8444977,32.7569008,-81.4936981,-81.4936981,"Glynn, GA",Glynn
Gogebic  MI,MI,Gogebic ,0,0,0,0,0,1,0,,,,,"Gogebic, MI",Gogebic
Hamilton  FL,FL,Hamilton ,0,0,0,0,0,0,1,-79.1308975,35.526001,-82.947998,-82.947998,"Hamilton, FL",Hamilton
Hardee  FL,FL,Hardee ,0,1,0,1,1,0,1,-79.1308975,35.526001,-81.8099976,-81.8099976,"Hardee, FL",Hardee
Hendry  FL,FL,Hendry ,1,1,0,1,1,0,1,-79.1308975,35.526001,-81.1659012,-81.1659012,"Hendry, FL",Hendry
Hernando  FL,FL,Hernando ,0,1,0,0,1,0,1,-79.1308975,35.526001,-82.4684982,-82.4684982,"Hernando, FL",Hernando
Highlands  FL,FL,Highlands ,0,1,0,0,1,0,1,-79.1308975,35.526001,-81.3410034,-81.3410034,"Highlands, FL",Highlands
Hillsborough  FL,FL,Hillsborough ,0,1,0,1,1,0,1,-79.1308975,35.526001,-82.3469009,-82.3469009,"Hillsborough, FL",Hillsborough
Houghton  MI,MI,Houghton ,0,0,0,0,0,1,0,,,,,"Houghton, MI",Houghton
Indian River  FL,FL,Indian River ,0,1,0,1,1,0,1,-79.1308975,35.526001,-80.5740967,-80.5740967,"Indian River, FL",Indian River
Lafayette  FL,FL,Lafayette ,0,0,0,0,0,0,1,-79.1308975,35.526001,-83.1810989,-83.1810989,"Lafayette, FL",Lafayette
Lake  FL,FL,Lake ,0,1,1,1,1,0,1,-79.1308975,35.526001,-81.7113037,-81.7113037,"Lake, FL",Lake
Lee  FL,FL,Lee ,1,1,0,1,1,0,1,-79.1308975,35.526001,-81.9154968,-81.9154968,"Lee, FL",Lee
Levy  FL,FL,Levy ,0,0,0,0,0,0,1,-79.1308975,35.526001,-82.7885971,-82.7885971,"Levy, FL",Levy
Liberty  GA,GA,Liberty ,0,1,0,0,0,0,0,-86.8444977,32.7569008,-81.4562988,-81.4562988,"Liberty, GA",Liberty
Mackinac  MI,MI,Mackinac ,0,0,0,0,0,1,0,,,,,"Mackinac, MI",Mackinac
Manatee  FL,FL,Manatee ,0,1,0,1,1,0,1,-79.1308975,35.526001,-82.3574982,-82.3574982,"Manatee, FL",Manatee
Marion  FL,FL,Marion ,0,1,0,0,1,0,1,-79.1308975,35.526001,-82.0567017,-82.0567017,"Marion, FL",Marion
Marquette  MI,MI,Marquette ,0,0,0,0,0,1,0,,,,,"Marquette, MI",Marquette
Martin  FL,FL,Martin ,0,1,0,0,1,0,1,-79.1308975,35.526001,-80.3984985,-80.3984985,"Martin, FL",Martin
McIntosh  GA,GA,McIntosh ,0,1,0,0,0,0,0,-86.8444977,32.7569008,-81.3756027,-81.3756027,"McIntosh, GA",McIntosh
Monroe  FL,FL,Monroe ,0,1,0,0,1,0,1,-79.1308975,35.526001,-81.1856995,-81.1856995,"Monroe, FL",Monroe
Nassau  FL,FL,Nassau ,0,0,0,0,0,0,1,-79.1308975,35.526001,-81.7714005,-81.7714005,"Nassau, FL",Nassau
Okeechobee  FL,FL,Okeechobee ,0,1,0,0,1,0,1,-79.1308975,35.526001,-80.8886032,-80.8886032,"Okeechobee, FL",Okeechobee
Ontonagon  MI,MI,Ontonagon ,0,0,0,0,0,1,0,,,,,"Ontonagon, MI",Ontonagon
Orange  FL,FL,Orange ,0,1,1,1,1,0,1,-79.1308975,35.526001,-81.3235016,-81.3235016,"Orange, FL",Orange
Osceola  FL,FL,Osceola ,0,1,0,1,1,0,1,-79.1308975,35.526001,-81.149498,-81.149498,"Osceola, FL",Osceola
Palm Beach  FL,FL,Palm Beach ,1,1,0,1,1,0,1,-79.1308975,35.526001,-80.4365005,-80.4365005,"Palm Beach, FL",Palm Beach
Pasco  FL,FL,Pasco ,0,1,1,1,1,0,1,-79.1308975,35.526001,-82.4389038,-82.4389038,"Pasco, FL",Pasco
Pinellas  FL,FL,Pinellas ,0,1,0,0,1,0,1,-79.1308975,35.526001,-82.7396011,-82.7396011,"Pinellas, FL",Pinellas
Polk  FL,FL,Polk ,0,1,1,1,1,0,1,-79.1308975,35.526001,-81.6977005,-81.6977005,"Polk, FL",Polk
Putnam  FL,FL,Putnam ,0,1,0,0,0,0,1,-79.1308975,35.526001,-81.7443008,-81.7443008,"Putnam, FL",Putnam
Sarasota  FL,FL,Sarasota ,0,1,0,0,1,0,1,-79.1308975,35.526001,-82.3649979,-82.3649979,"Sarasota, FL",Sarasota
Schoolcraft  MI,MI,Schoolcraft ,0,0,0,0,0,1,0,,,,,"Schoolcraft, MI",Schoolcraft
Seminole  FL,FL,Seminole ,0,1,1,1,1,0,1,-79.1308975,35.526001,-81.2362976,-81.2362976,"Seminole, FL",Seminole
St. Johns  FL,FL,St. Johns ,0,1,0,0,0,0,1,-79.1308975,35.526001,-81.4098969,-81.4098969,"St. Johns, FL",St. Johns
St. Lucie  FL,FL,St. Lucie ,0,1,0,1,1,0,1,-79.1308975,35.526001,-80.4456024,-80.4456024,"St. Lucie, FL",St. Lucie
Sumter  FL,FL,Sumter ,0,1,0,0,1,0,1,-79.1308975,35.526001,-82.0810013,-82.0810013,"Sumter, FL",Sumter
Suwannee  FL,FL,Suwannee ,0,0,0,0,0,0,1,-79.1308975,35.526001,-82.9915009,-82.9915009,"Suwannee, FL",Suwannee
Union  FL,FL,Union ,0,0,0,0,0,0,1,-79.1308975,35.526001,-82.3713989,-82.3713989,"Union, FL",Union
Volusia  FL,FL,Volusia ,0,1,0,0,1,0,1,-79.1308975,35.526001,-81.1485977,-81.1485977,"Volusia, FL",Volusia
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
